id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001003024650,female,lactating,carmen,02/06/2015,Jun,2015,19H 43M 29S,foraging,31299,NA,1,,,
*989001005064909,female,pregnant,carmen,23/04/2016,Apr,2016,20H 3M 32S,roosting,35482.5,41753.94832,2,,,
*989001003024653,female,lactating,carmen,22/05/2015,May,2015,19H 58M 16S,foraging,13841,17325.53035,2,,,
*989001005064955,female,pregnant,carmen,15/04/2016,Apr,2016,20H 55M 29S,roosting,35470.6,70129.07222,5,,,
*989001003024653,female,lactating,carmen,23/05/2015,May,2015,19H 55M 33S,foraging,6967.25,12696.59239,4,,,
*989001005527071,female,pregnant,carmen,22/04/2016,Apr,2016,19H 48M 15S,roosting,35224,36489.53834,2,,,
*989001003024653,female,lactating,carmen,24/05/2015,May,2015,19H 44M 56S,foraging,9227.333333,13797.67641,3,,,
*989001005527103,female,non,carmen,24/04/2016,Apr,2016,19H 51M 37S,roosting,35044.5,39734.45136,2,,,
*989001003024653,female,lactating,carmen,25/05/2015,May,2015,19H 53M 28S,foraging,14659,19195.12068,2,,,
*989001005064989,female,pregnant,carmen,19/04/2016,Apr,2016,19H 53M 35S,roosting,34963.5,33630.70562,2,,,
*989001003024653,female,lactating,carmen,26/05/2015,May,2015,19H 43M 34S,foraging,636.5,389.6158364,2,,,
*989001005527056,female,pregnant,carmen,23/04/2016,Apr,2016,20H 15M 10S,roosting,34841,32962.48971,2,,,
*989001003024653,female,lactating,carmen,27/05/2015,May,2015,19H 50M 30S,foraging,15305,20643.27537,2,,,
*989001005064902,female,pregnant,carmen,18/04/2016,Apr,2016,19H 51M 6S,roosting,34650,25382.30502,2,,,
*989001003024653,female,lactating,carmen,28/05/2015,May,2015,19H 53M 15S,foraging,14818,18891.06477,2,,,
*989001003024524,female,lactating,carmen,26/05/2015,May,2015,19H 47M 34S,roosting,34620.5,29619.99596,2,,,
*989001003024653,female,lactating,carmen,29/05/2015,May,2015,19H 45M 6S,foraging,7680.75,14218.12769,4,,,
*989001005527081,female,pregnant,carmen,23/04/2016,Apr,2016,19H 35M 28S,roosting,34464.5,42752.3831,2,,,
*989001003024653,female,lactating,carmen,30/05/2015,May,2015,19H 49M 8S,foraging,30055,NA,1,,,
*989001005527050,female,pregnant,carmen,14/04/2016,Apr,2016,21H 5M 34S,roosting,34308.5,48465.80589,2,,,
*989001003024653,female,lactating,carmen,31/05/2015,May,2015,19H 51M 2S,foraging,30364,NA,1,,,
